Timestamp,HR,BR,Temp,Posture,Activity,Acceleration,Battery,BRAmplitude,ECGAmplitude,ECGNoise,XMin,XPeak,YMin,YPeak,ZMin,ZPeak
25/05/2019 14:12:20.444,67,10.0,32.3,91,0.73,0.97,4.193,0.000,0.000577,0.001487,-0.65,0.37,-1.06,-0.91,-0.24,0.01
25/05/2019 14:12:21.444,74,10.0,32.3,93,0.38,0.53,4.186,0.000,0.014425,0.001862,0.01,0.16,-1.01,-0.96,-0.08,0.06
25/05/2019 14:12:22.444,80,10.0,32.3,-94,0.20,0.29,4.180,0.008,0.014425,0.001155,0.01,0.16,-1.06,-0.96,0.01,0.06
25/05/2019 14:12:23.444,86,10.0,32.3,-93,0.11,0.15,4.176,0.017,0.003075,0.000779,0.01,0.11,-1.01,-0.96,0.01,0.11
25/05/2019 14:12:24.444,91,10.0,32.3,-93,0.07,0.25,4.172,0.021,0.003075,0.000563,-0.34,0.16,-1.06,-0.75,-0.08,0.42
25/05/2019 14:12:25.444,95,10.0,32.3,-92,0.06,0.25,4.169,0.030,0.002397,0.000765,-0.14,0.32,-1.32,-0.85,-0.08,0.32
25/05/2019 14:12:26.444,98,10.3,32.3,-91,0.10,0.30,4.166,0.037,0.002397,0.000693,-0.34,0.26,-1.11,-0.80,0.01,0.26
25/05/2019 14:12:27.444,102,10.8,32.3,-92,0.06,0.19,4.164,0.042,0.003610,0.000462,-0.03,0.21,-1.06,-0.91,0.06,0.16
25/05/2019 14:12:28.444,104,11.2,32.3,-93,0.03,0.06,4.162,0.042,0.003610,0.000476,0.06,0.11,-1.01,-0.96,0.06,0.11
25/05/2019 14:12:29.444,106,11.5,32.3,-93,0.01,0.02,4.160,0.037,0.002050,0.000317,0.06,0.06,-1.01,-0.96,0.06,0.11
25/05/2019 14:12:30.444,108,11.7,32.3,-93,0.01,0.03,4.158,0.037,0.002050,0.000216,0.01,0.11,-1.01,-0.96,0.06,0.06
