Timestamp,BR,RtoR
25/05/2019 15:43:39.444,-222,0.252
25/05/2019 15:43:39.500,-220,0.252
25/05/2019 15:43:39.556,-217,0.252
25/05/2019 15:43:39.612,-211,0.252
25/05/2019 15:43:39.668,-204,0.252
25/05/2019 15:43:39.724,-196,-0.148
25/05/2019 15:43:39.780,-188,-0.148
25/05/2019 15:43:39.836,-179,-0.148
25/05/2019 15:43:39.892,-172,-0.148
25/05/2019 15:43:39.948,-162,0.216
25/05/2019 15:43:40.004,-153,0.216
25/05/2019 15:43:40.060,-146,0.216
25/05/2019 15:43:40.116,-137,0.216
25/05/2019 15:43:40.172,-131,0.216
25/05/2019 15:43:40.228,-123,-0.232
25/05/2019 15:43:40.284,-116,-0.232
25/05/2019 15:43:40.340,-110,-0.232
25/05/2019 15:43:40.444,-103,-0.232
25/05/2019 15:43:40.500,-98,0.252
25/05/2019 15:43:40.556,-79,0.252
25/05/2019 15:43:40.612,-42,0.252
25/05/2019 15:43:40.668,-1,0.252
25/05/2019 15:43:40.724,49,0.252
25/05/2019 15:43:40.780,88,-0.404
25/05/2019 15:43:40.836,126,-0.404
25/05/2019 15:43:40.892,154,-0.404
25/05/2019 15:43:40.948,169,-0.404
25/05/2019 15:43:41.004,178,0.088
25/05/2019 15:43:41.060,177,0.088
25/05/2019 15:43:41.116,170,0.088
25/05/2019 15:43:41.172,159,0.088
25/05/2019 15:43:41.228,146,-0.312
25/05/2019 15:43:41.284,128,-0.312
25/05/2019 15:43:41.340,112,-0.312
25/05/2019 15:43:41.396,91,-0.312
25/05/2019 15:43:41.444,70,-0.312
25/05/2019 15:43:41.500,54,-0.312
25/05/2019 15:43:41.556,35,-0.312
25/05/2019 15:43:41.612,21,-0.312
25/05/2019 15:43:41.668,5,-0.312
25/05/2019 15:43:41.724,-5,-0.312
25/05/2019 15:43:41.780,-10,-0.312
25/05/2019 15:43:41.836,-8,-0.312
25/05/2019 15:43:41.892,1,-0.312
25/05/2019 15:43:41.948,25,-0.312
25/05/2019 15:43:42.004,66,-0.312
25/05/2019 15:43:42.060,114,-0.312
25/05/2019 15:43:42.116,184,-0.312
25/05/2019 15:43:42.172,252,-0.312
25/05/2019 15:43:42.228,319,-0.312
25/05/2019 15:43:42.284,358,-0.312
25/05/2019 15:43:42.340,370,-0.312
25/05/2019 15:43:42.396,364,-0.312
25/05/2019 15:43:42.444,343,-0.312
25/05/2019 15:43:42.500,292,-0.312
25/05/2019 15:43:42.556,213,-0.312
25/05/2019 15:43:42.612,130,-0.312
25/05/2019 15:43:42.668,35,-0.312
25/05/2019 15:43:42.724,-21,-0.312
25/05/2019 15:43:42.780,-56,-0.312
25/05/2019 15:43:42.836,-65,-0.312
25/05/2019 15:43:42.892,-63,-0.312
25/05/2019 15:43:42.948,-54,-0.312
25/05/2019 15:43:43.004,-45,-0.312
25/05/2019 15:43:43.060,-37,-0.312
25/05/2019 15:43:43.116,-32,-0.312
25/05/2019 15:43:43.172,-30,-0.312
25/05/2019 15:43:43.228,-33,-0.312
25/05/2019 15:43:43.284,-37,-0.312
25/05/2019 15:43:43.340,-44,-0.312
25/05/2019 15:43:43.396,-53,-0.312
25/05/2019 15:43:43.444,-61,-0.312
25/05/2019 15:43:43.500,-72,-0.312
25/05/2019 15:43:43.556,-80,-0.312
25/05/2019 15:43:43.612,-91,-0.312
25/05/2019 15:43:43.668,-99,-0.312
25/05/2019 15:43:43.724,-106,-0.312
25/05/2019 15:43:43.780,-113,-0.312
25/05/2019 15:43:43.836,-117,-0.312
25/05/2019 15:43:43.892,-121,-0.312
25/05/2019 15:43:43.948,-125,-0.312
25/05/2019 15:43:44.004,-125,-0.312
25/05/2019 15:43:44.060,-123,-0.312
25/05/2019 15:43:44.116,-121,-0.312
25/05/2019 15:43:44.172,-116,-0.312
25/05/2019 15:43:44.228,-112,-0.312
25/05/2019 15:43:44.284,-108,-0.312
25/05/2019 15:43:44.340,-103,-0.312
25/05/2019 15:43:44.396,-101,-0.312
25/05/2019 15:43:44.444,-97,-0.312
25/05/2019 15:43:44.500,-92,-0.312
25/05/2019 15:43:44.556,-88,-0.312
25/05/2019 15:43:44.612,-84,-0.312
25/05/2019 15:43:44.668,-79,-0.312
25/05/2019 15:43:44.724,-74,-0.312
25/05/2019 15:43:44.780,-71,-0.312
25/05/2019 15:43:44.836,-67,-0.312
25/05/2019 15:43:44.892,-62,-0.312
25/05/2019 15:43:44.948,-59,-0.312
25/05/2019 15:43:45.004,-53,-0.312
25/05/2019 15:43:45.060,-48,-0.312
25/05/2019 15:43:45.116,-42,-0.312
25/05/2019 15:43:45.172,-36,3.956
25/05/2019 15:43:45.228,-30,3.956
25/05/2019 15:43:45.284,-21,3.956
25/05/2019 15:43:45.340,-13,3.956
25/05/2019 15:43:45.396,-5,3.956
25/05/2019 15:43:45.444,4,-0.272
25/05/2019 15:43:45.500,13,-0.272
25/05/2019 15:43:45.556,23,-0.272
25/05/2019 15:43:45.612,33,-0.272
25/05/2019 15:43:45.668,41,-0.272
25/05/2019 15:43:45.724,50,-0.272
25/05/2019 15:43:45.780,56,-0.272
25/05/2019 15:43:45.836,62,-0.272
25/05/2019 15:43:45.892,67,-0.272
25/05/2019 15:43:45.948,71,-0.272
25/05/2019 15:43:46.004,72,-0.272
25/05/2019 15:43:46.060,73,-0.272
25/05/2019 15:43:46.116,73,-0.272
25/05/2019 15:43:46.172,73,0.66
25/05/2019 15:43:46.228,72,0.66
25/05/2019 15:43:46.284,69,0.66
25/05/2019 15:43:46.340,67,0.66
25/05/2019 15:43:46.396,65,0.66
25/05/2019 15:43:46.444,61,0.66
25/05/2019 15:43:46.500,57,0.66
25/05/2019 15:43:46.556,52,0.66
25/05/2019 15:43:46.612,47,0.66
25/05/2019 15:43:46.668,42,-0.684
25/05/2019 15:43:46.724,36,-0.684
25/05/2019 15:43:46.780,31,-0.684
25/05/2019 15:43:46.836,26,-0.684
25/05/2019 15:43:46.892,23,-0.684
25/05/2019 15:43:46.948,19,-0.684
25/05/2019 15:43:47.004,16,-0.684
25/05/2019 15:43:47.060,12,-0.684
25/05/2019 15:43:47.116,8,-0.684
25/05/2019 15:43:47.172,5,-0.684
25/05/2019 15:43:47.228,1,-0.684
25/05/2019 15:43:47.284,-2,-0.684
25/05/2019 15:43:47.340,-5,-0.684
25/05/2019 15:43:47.444,-10,-0.684
25/05/2019 15:43:47.500,-13,-0.684
25/05/2019 15:43:47.556,-17,-0.684
25/05/2019 15:43:47.612,-21,-0.684
25/05/2019 15:43:47.668,-24,-0.684
25/05/2019 15:43:47.724,-27,-0.684
25/05/2019 15:43:47.780,-30,-0.684
25/05/2019 15:43:47.836,-32,-0.684
25/05/2019 15:43:47.892,-33,-0.684
25/05/2019 15:43:47.948,-35,-0.684
25/05/2019 15:43:48.004,-35,-0.684
25/05/2019 15:43:48.060,-34,-0.684
25/05/2019 15:43:48.116,-34,-0.684
25/05/2019 15:43:48.172,-33,-0.684
25/05/2019 15:43:48.228,-31,-0.684
25/05/2019 15:43:48.284,-28,-0.684
25/05/2019 15:43:48.340,-26,-0.684
25/05/2019 15:43:48.396,-22,-0.684
25/05/2019 15:43:48.444,-18,-0.684
25/05/2019 15:43:48.500,-14,-0.684
25/05/2019 15:43:48.556,-8,-0.684
25/05/2019 15:43:48.612,-4,-0.684
25/05/2019 15:43:48.668,1,-0.684
25/05/2019 15:43:48.724,8,-0.684
25/05/2019 15:43:48.780,12,-0.684
25/05/2019 15:43:48.836,18,-0.684
25/05/2019 15:43:48.892,23,-0.684
25/05/2019 15:43:48.948,27,-0.684
25/05/2019 15:43:49.004,32,-0.684
25/05/2019 15:43:49.060,35,-0.684
25/05/2019 15:43:49.116,37,-0.684
25/05/2019 15:43:49.172,38,-0.684
25/05/2019 15:43:49.228,40,-0.684
25/05/2019 15:43:49.284,39,-0.684
25/05/2019 15:43:49.340,38,-0.684
25/05/2019 15:43:49.396,37,-0.684
25/05/2019 15:43:49.444,36,-0.684
25/05/2019 15:43:49.500,36,-0.684
25/05/2019 15:43:49.556,34,-0.684
25/05/2019 15:43:49.612,32,-0.684
25/05/2019 15:43:49.668,31,-0.684
25/05/2019 15:43:49.724,31,-0.684
25/05/2019 15:43:49.780,29,-0.684
25/05/2019 15:43:49.836,26,-0.684
25/05/2019 15:43:49.892,25,3.128
25/05/2019 15:43:49.948,23,3.128
25/05/2019 15:43:50.004,22,3.128
25/05/2019 15:43:50.060,20,3.128
25/05/2019 15:43:50.116,19,3.128
25/05/2019 15:43:50.172,17,3.128
25/05/2019 15:43:50.228,16,3.128
25/05/2019 15:43:50.284,15,3.128
25/05/2019 15:43:50.340,13,3.128
25/05/2019 15:43:50.396,12,3.128
25/05/2019 15:43:50.444,12,3.128
25/05/2019 15:43:50.500,12,3.128
25/05/2019 15:43:50.556,12,3.128
25/05/2019 15:43:50.612,13,3.128
25/05/2019 15:43:50.668,15,3.128
25/05/2019 15:43:50.724,16,3.128
25/05/2019 15:43:50.780,18,3.128
25/05/2019 15:43:50.836,19,3.128
25/05/2019 15:43:50.892,21,-0.952
25/05/2019 15:43:50.948,22,-0.952
25/05/2019 15:43:51.004,24,-0.952
25/05/2019 15:43:51.060,26,-0.952
25/05/2019 15:43:51.116,26,-0.952
25/05/2019 15:43:51.172,27,-0.952
25/05/2019 15:43:51.228,29,-0.952
25/05/2019 15:43:51.284,29,-0.952
