Timestamp,BR,RtoR
25/05/2019 14:12:27.668,-54,0.736
25/05/2019 14:12:27.724,-77,0.736
25/05/2019 14:12:27.780,-91,0.736
25/05/2019 14:12:27.836,-101,0.736
25/05/2019 14:12:27.892,-103,-1.452
25/05/2019 14:12:27.948,-103,-1.452
25/05/2019 14:12:28.004,-98,-1.452
25/05/2019 14:12:28.060,-93,-1.452
25/05/2019 14:12:28.116,-85,-1.452
25/05/2019 14:12:28.172,-78,-1.452
25/05/2019 14:12:28.228,-71,-1.452
25/05/2019 14:12:28.284,-63,-1.452
25/05/2019 14:12:28.340,-58,-1.452
25/05/2019 14:12:28.444,-54,-1.452
25/05/2019 14:12:28.500,-52,-1.452
25/05/2019 14:12:28.556,-50,-1.452
25/05/2019 14:12:28.612,-48,-1.452
25/05/2019 14:12:28.668,-48,-1.452
25/05/2019 14:12:28.724,-47,-1.452
25/05/2019 14:12:28.780,-47,-1.452
25/05/2019 14:12:28.836,-46,-1.452
25/05/2019 14:12:28.892,-44,-1.452
25/05/2019 14:12:28.948,-43,-1.452
25/05/2019 14:12:29.004,-41,-1.452
25/05/2019 14:12:29.060,-38,-1.452
25/05/2019 14:12:29.116,-35,-1.452
25/05/2019 14:12:29.172,-32,-1.452
25/05/2019 14:12:29.228,-30,-1.452
25/05/2019 14:12:29.284,-27,-1.452
25/05/2019 14:12:29.340,-25,-1.452
25/05/2019 14:12:29.396,-23,-1.452
25/05/2019 14:12:29.444,-21,-1.452
25/05/2019 14:12:29.500,-19,-1.452
25/05/2019 14:12:29.556,-16,-1.452
25/05/2019 14:12:29.612,-12,-1.452
25/05/2019 14:12:29.668,-7,-1.452
25/05/2019 14:12:29.724,-2,-1.452
25/05/2019 14:12:29.780,1,-1.452
25/05/2019 14:12:29.836,6,-1.452
25/05/2019 14:12:29.892,9,-1.452
25/05/2019 14:12:29.948,13,-1.452
25/05/2019 14:12:30.004,15,-1.452
25/05/2019 14:12:30.060,15,-1.452
25/05/2019 14:12:30.116,15,-1.452
25/05/2019 14:12:30.172,14,2.176
25/05/2019 14:12:30.228,11,2.176
25/05/2019 14:12:30.284,9,2.176
25/05/2019 14:12:30.340,5,2.176
25/05/2019 14:12:30.396,2,2.176
25/05/2019 14:12:30.444,-1,2.176
25/05/2019 14:12:30.500,-6,2.176
25/05/2019 14:12:30.556,-10,2.176
25/05/2019 14:12:30.612,-15,2.176
25/05/2019 14:12:30.668,-19,2.176
25/05/2019 14:12:30.724,-22,2.176
25/05/2019 14:12:30.780,-27,2.176
25/05/2019 14:12:30.836,-31,2.176
25/05/2019 14:12:30.892,-34,-0.764
25/05/2019 14:12:30.948,-39,-0.764
25/05/2019 14:12:31.004,-43,-0.764
25/05/2019 14:12:31.060,-47,-0.764
25/05/2019 14:12:31.116,-51,-0.764
25/05/2019 14:12:31.172,-54,-0.764
25/05/2019 14:12:31.228,-56,-0.764
25/05/2019 14:12:31.284,-58,-0.764
25/05/2019 14:12:31.340,-60,-0.764
25/05/2019 14:12:31.396,-60,-0.764
25/05/2019 14:12:31.444,-60,-0.764
25/05/2019 14:12:31.500,-60,-0.764
25/05/2019 14:12:31.556,-60,-0.764
25/05/2019 14:12:31.612,-60,-0.764
25/05/2019 14:12:31.668,-59,0.772
25/05/2019 14:12:31.724,-59,0.772
25/05/2019 14:12:31.780,-59,0.772
25/05/2019 14:12:31.836,-59,0.772
25/05/2019 14:12:31.892,-58,0.772
25/05/2019 14:12:31.948,-57,0.772
25/05/2019 14:12:32.004,-57,0.772
25/05/2019 14:12:32.060,-57,0.772
25/05/2019 14:12:32.116,-56,0.772
25/05/2019 14:12:32.172,-54,0.772
25/05/2019 14:12:32.228,-53,0.772
25/05/2019 14:12:32.284,-52,0.772
25/05/2019 14:12:32.340,-50,0.772
25/05/2019 14:12:32.396,-49,-0.744
25/05/2019 14:12:32.444,-48,-0.744
25/05/2019 14:12:32.500,-47,-0.744
25/05/2019 14:12:32.556,-46,-0.744
25/05/2019 14:12:32.612,-46,-0.744
25/05/2019 14:12:32.668,-44,-0.744
25/05/2019 14:12:32.724,-43,-0.744
25/05/2019 14:12:32.780,-44,-0.744
25/05/2019 14:12:32.836,-43,-0.744
25/05/2019 14:12:32.892,-44,-0.744
25/05/2019 14:12:32.948,-46,-0.744
25/05/2019 14:12:33.004,-47,-0.744
25/05/2019 14:12:33.060,-47,-0.744
25/05/2019 14:12:33.116,-46,0.768
25/05/2019 14:12:33.172,-44,0.768
25/05/2019 14:12:33.228,-41,0.768
25/05/2019 14:12:33.284,-40,0.768
25/05/2019 14:12:33.340,-38,0.768
25/05/2019 14:12:33.396,-36,0.768
25/05/2019 14:12:33.444,-35,0.768
25/05/2019 14:12:33.500,-34,0.768
25/05/2019 14:12:33.556,-33,0.768
25/05/2019 14:12:33.612,-32,0.768
25/05/2019 14:12:33.668,-31,0.768
25/05/2019 14:12:33.724,-31,0.768
25/05/2019 14:12:33.780,-31,0.768
25/05/2019 14:12:33.836,-30,0.768
25/05/2019 14:12:33.892,-29,-0.752
25/05/2019 14:12:33.948,-27,-0.752
25/05/2019 14:12:34.004,-26,-0.752
25/05/2019 14:12:34.060,-25,-0.752
25/05/2019 14:12:34.116,-24,-0.752
25/05/2019 14:12:34.172,-23,-0.752
25/05/2019 14:12:34.228,-22,-0.752
25/05/2019 14:12:34.284,-20,-0.752
25/05/2019 14:12:34.340,-19,-0.752
25/05/2019 14:12:34.396,-17,-0.752
25/05/2019 14:12:34.444,-16,-0.752
25/05/2019 14:12:34.500,-14,-0.752
