Timestamp,ECG
25/05/2019 14:12:20.444,4095
25/05/2019 14:12:20.448,4095
25/05/2019 14:12:20.452,4091
25/05/2019 14:12:20.456,4095
25/05/2019 14:12:20.460,4095
25/05/2019 14:12:20.464,4095
25/05/2019 14:12:20.468,3967
25/05/2019 14:12:20.472,3891
25/05/2019 14:12:20.476,3839
25/05/2019 14:12:20.480,3791
25/05/2019 14:12:20.484,3915
25/05/2019 14:12:20.488,4091
25/05/2019 14:12:20.492,4095
25/05/2019 14:12:20.496,4095
25/05/2019 14:12:20.500,4083
25/05/2019 14:12:20.504,3847
25/05/2019 14:12:20.508,3543
25/05/2019 14:12:20.512,3351
25/05/2019 14:12:20.516,3291
25/05/2019 14:12:20.520,3291
25/05/2019 14:12:20.524,3379
25/05/2019 14:12:20.528,3487
25/05/2019 14:12:20.532,3475
25/05/2019 14:12:20.536,3447
25/05/2019 14:12:20.540,3443
25/05/2019 14:12:20.544,3435
25/05/2019 14:12:20.548,3307
25/05/2019 14:12:20.552,3247
25/05/2019 14:12:20.556,3267
25/05/2019 14:12:20.560,3379
25/05/2019 14:12:20.564,3551
25/05/2019 14:12:20.568,3707
25/05/2019 14:12:20.572,3839
25/05/2019 14:12:20.576,4047
25/05/2019 14:12:20.580,4095
25/05/2019 14:12:20.584,4095
25/05/2019 14:12:20.588,3775
25/05/2019 14:12:20.592,3503
25/05/2019 14:12:20.596,3295
25/05/2019 14:12:20.600,3071
25/05/2019 14:12:20.604,2715
25/05/2019 14:12:20.608,2403
25/05/2019 14:12:20.612,2447
25/05/2019 14:12:20.616,2519
25/05/2019 14:12:20.620,2571
25/05/2019 14:12:20.624,2623
25/05/2019 14:12:20.628,2759
25/05/2019 14:12:20.632,2707
25/05/2019 14:12:20.636,2715
25/05/2019 14:12:20.640,2867
25/05/2019 14:12:20.644,3059
25/05/2019 14:12:20.648,3231
25/05/2019 14:12:20.652,3395
25/05/2019 14:12:20.656,3795
25/05/2019 14:12:20.660,3247
25/05/2019 14:12:20.664,1191
25/05/2019 14:12:20.668,3
25/05/2019 14:12:20.672,3
25/05/2019 14:12:20.676,3
25/05/2019 14:12:20.680,3
25/05/2019 14:12:20.684,3
25/05/2019 14:12:20.688,3
25/05/2019 14:12:20.692,815
25/05/2019 14:12:20.696,1831
25/05/2019 14:12:20.700,2587
25/05/2019 14:12:20.704,3011
25/05/2019 14:12:20.708,3183
25/05/2019 14:12:20.712,3435
25/05/2019 14:12:20.716,2699
25/05/2019 14:12:20.720,2211
25/05/2019 14:12:20.724,2203
25/05/2019 14:12:20.728,1747
25/05/2019 14:12:20.732,1231
25/05/2019 14:12:20.736,531
25/05/2019 14:12:20.740,79
25/05/2019 14:12:20.744,1063
25/05/2019 14:12:20.748,1423
25/05/2019 14:12:20.752,2083
25/05/2019 14:12:20.756,2207
25/05/2019 14:12:20.760,1455
25/05/2019 14:12:20.764,1431
25/05/2019 14:12:20.768,2135
25/05/2019 14:12:20.772,2919
25/05/2019 14:12:20.776,3167
25/05/2019 14:12:20.780,3447
25/05/2019 14:12:20.784,3771
25/05/2019 14:12:20.788,3827
25/05/2019 14:12:20.792,3939
25/05/2019 14:12:20.796,3083
25/05/2019 14:12:20.800,107
25/05/2019 14:12:20.804,115
25/05/2019 14:12:20.808,7
25/05/2019 14:12:20.812,923
25/05/2019 14:12:20.816,3787
25/05/2019 14:12:20.820,4095
25/05/2019 14:12:20.824,4095
25/05/2019 14:12:20.828,4095
25/05/2019 14:12:20.832,4095
25/05/2019 14:12:20.836,4095
25/05/2019 14:12:20.840,4095
25/05/2019 14:12:20.844,4095
25/05/2019 14:12:20.848,4095
25/05/2019 14:12:20.852,4095
25/05/2019 14:12:20.856,4095
25/05/2019 14:12:20.860,4095
25/05/2019 14:12:20.864,4095
25/05/2019 14:12:20.868,4095
25/05/2019 14:12:20.872,4095
25/05/2019 14:12:20.876,4095
25/05/2019 14:12:20.880,4095
25/05/2019 14:12:20.884,4095
25/05/2019 14:12:20.888,4095
25/05/2019 14:12:20.892,4095
25/05/2019 14:12:20.896,4095
25/05/2019 14:12:20.900,4095
25/05/2019 14:12:20.904,4095
25/05/2019 14:12:20.908,4095
25/05/2019 14:12:20.912,4095
25/05/2019 14:12:20.916,4095
25/05/2019 14:12:20.920,4095
25/05/2019 14:12:20.924,4095
25/05/2019 14:12:20.928,4095
25/05/2019 14:12:20.932,4095
25/05/2019 14:12:20.936,4095
25/05/2019 14:12:20.940,4095
25/05/2019 14:12:20.944,4095
25/05/2019 14:12:20.948,4095
25/05/2019 14:12:20.952,4095
25/05/2019 14:12:20.956,4095
25/05/2019 14:12:20.960,4095
25/05/2019 14:12:20.964,4095
